E,H,I,R,S,Time
216,0,110,107,9567,6.5184
217,0,110,107,9566,6.52921
216,0,111,107,9566,6.53933
216,0,110,108,9566,6.54667
217,0,110,108,9565,6.548
216,0,111,108,9565,6.54997
216,0,110,109,9565,6.55118
217,0,110,109,9564,6.55444
218,0,110,109,9563,6.56789
218,0,109,110,9563,6.58973
217,0,110,110,9563,6.59541
217,0,109,111,9563,6.60909
216,0,110,111,9563,6.62311
215,0,111,111,9563,6.62315
216,0,111,111,9562,6.62321
217,0,111,111,9561,6.63416
217,0,110,112,9561,6.64427
218,0,110,112,9560,6.64964
219,0,110,112,9559,6.65528
220,0,110,112,9558,6.66628
219,0,111,112,9558,6.66647
219,0,110,113,9558,6.68331
220,0,110,113,9557,6.69472
220,0,109,114,9557,6.69473
220,0,108,115,9557,6.6967
221,0,108,115,9556,6.70046
220,0,109,115,9556,6.70059
221,0,109,115,9555,6.70771
220,0,110,115,9555,6.71491
220,0,109,116,9555,6.71899
220,0,108,117,9555,6.72089
221,0,108,117,9554,6.75964
222,0,108,117,9553,6.77409
223,0,108,117,9552,6.77454
224,0,108,117,9551,6.78872
224,0,107,118,9551,6.79072
225,0,107,118,9550,6.79785
224,0,108,118,9550,6.81191
225,0,108,118,9549,6.81321
226,0,108,118,9548,6.81344
226,0,107,119,9548,6.81387
225,0,108,119,9548,6.81594
226,0,108,119,9547,6.81955
227,0,108,119,9546,6.82929
227,0,107,120,9546,6.83677
227,0,106,121,9546,6.84554
228,0,106,121,9545,6.84583
227,0,107,121,9545,6.84648
226,0,108,121,9545,6.84688
227,0,108,121,9544,6.84917
228,0,108,121,9543,6.85577
229,0,108,121,9542,6.8558
230,0,108,121,9541,6.85656
230,0,107,122,9541,6.86316
231,0,107,122,9540,6.86558
232,0,107,122,9539,6.86894
233,0,107,122,9538,6.87325
232,0,108,122,9538,6.87578
231,0,109,122,9538,6.8761
230,0,110,122,9538,6.87935
229,0,111,122,9538,6.87958
230,0,111,122,9537,6.88976
230,0,110,123,9537,6.89512
230,0,109,124,9537,6.9043
231,0,109,124,9536,6.90854
230,0,110,124,9536,6.91081
231,0,110,124,9535,6.92379
231,0,109,125,9535,6.92491
230,0,110,125,9535,6.92988
231,0,110,125,9534,6.9341
230,0,111,125,9534,6.93501
231,0,111,125,9533,6.93928
231,0,110,126,9533,6.94639
232,0,110,126,9532,6.95407
232,0,109,127,9532,6.95563
233,0,109,127,9531,6.95867
234,0,109,127,9530,6.96342
235,0,109,127,9529,6.96514
236,0,109,127,9528,6.9892
237,0,109,127,9527,6.98973
236,0,110,127,9527,6.99355
235,0,111,127,9527,6.9955
234,0,112,127,9527,7.00218
235,0,112,127,9526,7.00523
235,0,111,128,9526,7.00854
236,0,111,128,9525,7.02022
236,0,110,129,9525,7.02072
235,0,111,129,9525,7.02767
235,0,110,130,9525,7.03784
236,0,110,130,9524,7.04334
237,0,110,130,9523,7.0459
238,0,110,130,9522,7.04619
238,0,109,131,9522,7.04885
239,0,109,131,9521,7.05121
238,0,110,131,9521,7.05705
238,0,109,132,9521,7.0577
238,0,108,133,9521,7.06743
239,0,108,133,9520,7.07541
239,0,107,134,9520,7.09042
240,0,107,134,9519,7.09926
241,0,107,134,9518,7.10302
242,0,107,134,9517,7.10956
241,0,108,134,9517,7.11211
241,0,107,135,9517,7.1253
242,0,107,135,9516,7.12949
243,0,107,135,9515,7.13397
244,0,107,135,9514,7.13465
245,0,107,135,9513,7.14203
244,0,108,135,9513,7.14675
243,0,109,135,9513,7.16557
242,0,110,135,9513,7.16627
243,0,110,135,9512,7.16911
244,0,110,135,9511,7.18222
245,0,110,135,9510,7.18737
245,0,109,136,9510,7.20687
246,0,109,136,9509,7.20733
245,0,110,136,9509,7.20973
244,0,111,136,9509,7.21393
245,0,111,136,9508,7.22302
245,0,110,137,9508,7.23097
245,0,109,138,9508,7.24822
246,0,109,138,9507,7.24958
247,0,109,138,9506,7.26895
248,0,109,138,9505,7.2718
249,0,109,138,9504,7.27633
249,0,108,139,9504,7.28082
248,0,109,139,9504,7.28268
249,0,109,139,9503,7.28326
250,0,109,139,9502,7.2872
251,0,109,139,9501,7.28759
251,0,108,140,9501,7.29127
252,0,108,140,9500,7.31369
251,0,109,140,9500,7.31873
252,0,109,140,9499,7.32188
251,0,110,140,9499,7.32322
250,0,111,140,9499,7.32591
251,0,111,140,9498,7.33965
252,0,111,140,9497,7.35276
252,0,110,141,9497,7.35296
253,0,110,141,9496,7.3573
253,0,109,142,9496,7.36081
254,0,109,142,9495,7.37222
253,0,110,142,9495,7.37873
254,0,110,142,9494,7.37896
255,0,110,142,9493,7.38504
256,0,110,142,9492,7.38753
256,0,109,143,9492,7.3907
255,0,110,143,9492,7.39548
256,0,110,143,9491,7.39712
257,0,110,143,9490,7.40155
258,0,110,143,9489,7.40248
258,0,109,144,9489,7.40338
258,0,108,145,9489,7.41688
257,0,109,145,9489,7.43271
258,0,109,145,9488,7.43805
259,0,109,145,9487,7.43986
260,0,109,145,9486,7.44148
260,0,108,146,9486,7.44458
259,0,109,146,9486,7.4466
260,0,109,146,9485,7.44861
261,0,109,146,9484,7.44983
260,0,110,146,9484,7.47511
261,0,110,146,9483,7.48227
262,0,110,146,9482,7.48863
263,0,110,146,9481,7.48938
263,0,109,147,9481,7.49867
263,0,108,148,9481,7.50141
263,0,107,149,9481,7.51219
264,0,107,149,9480,7.51508
265,0,107,149,9479,7.51669
264,0,108,149,9479,7.51721
265,0,108,149,9478,7.52087
266,0,108,149,9477,7.52788
266,0,107,150,9477,7.52811
265,0,108,150,9477,7.53024
266,0,108,150,9476,7.53345
267,0,108,150,9475,7.53833
268,0,108,150,9474,7.54274
269,0,108,150,9473,7.55926
270,0,108,150,9472,7.56046
271,0,108,150,9471,7.5616
272,0,108,150,9470,7.56505
272,0,107,151,9470,7.56768
271,0,108,151,9470,7.56808
272,0,108,151,9469,7.57281
273,0,108,151,9468,7.57437
274,0,108,151,9467,7.58181
274,0,107,152,9467,7.58549
273,0,108,152,9467,7.58778
273,0,107,153,9467,7.59518
274,0,107,153,9466,7.59544
275,0,107,153,9465,7.61262
274,0,108,153,9465,7.61317
273,0,109,153,9465,7.61514
274,0,109,153,9464,7.62588
275,0,109,153,9463,7.6304
276,0,109,153,9462,7.63754
277,0,109,153,9461,7.64413
278,0,109,153,9460,7.64437
277,0,110,153,9460,7.65518
276,0,111,153,9460,7.66031
277,0,111,153,9459,7.66308
278,0,111,153,9458,7.66954
277,0,112,153,9458,7.66992
278,0,112,153,9457,7.68946
279,0,112,153,9456,7.69793
279,0,111,154,9456,7.70279
278,0,112,154,9456,7.70482
278,0,111,155,9456,7.70825
279,0,111,155,9455,7.71592
280,0,111,155,9454,7.73594
281,0,111,155,9453,7.74072
280,0,112,155,9453,7.74109
279,0,113,155,9453,7.74511
279,0,112,156,9453,7.7485
280,0,112,156,9452,7.75153
280,0,111,157,9452,7.76247
279,0,112,157,9452,7.76515
278,0,113,157,9452,7.77086
279,0,113,157,9451,7.77972
278,0,114,157,9451,7.79221
277,0,115,157,9451,7.79313
277,0,114,158,9451,7.80105
277,0,113,159,9451,7.81114
278,0,113,159,9450,7.82366
278,0,112,160,9450,7.82752
277,0,113,160,9450,7.83856
278,0,113,160,9449,7.84673
278,0,112,161,9449,7.84742
278,0,111,162,9449,7.84869
277,0,112,162,9449,7.85024
